2,2,Mon May 15 13:35:52 CEST 2017,NSGAII,NullMutation,BLXAlphaCrossover
1,27,11,1.2349949186685762,1.830753163756082,-0.3055407146188789,-3.4482506230903702
1,28,24,0.37396054942611734,-6.461625382020106,6.601471874547189,5.274645107307047
1,29,1,2.4731482500261777,3.620676240151676,2.4957860264558693,-5.857250365164765
1,30,17,3.307732161345065,0.7125585504621901,10.228533500734304,-3.3664246311347226
1,31,17,-1.2988546253174746,-0.5678098014659856,2.254833139174583,0.2172371141247229
1,32,32,3.5843727586463103,-2.6283227577158703,15.476050830641633,-0.16386362160728485
1,33,47,-6.942648160855134,3.7273336260189165,44.47302985940625,-1.2560095455913496
1,34,68,-6.736063988568434,-5.386322837423606,50.76088089551209,7.754354831707822
1,35,40,-5.825600482808129,2.0015244396525205,31.93609654564179,-0.0887241982484559
1,36,19,-2.1198221616327224,-0.7023345151890332,5.195980512138261,0.7622455960053944
1,37,19,2.473967648214064,-2.0617825459551806,8.182298470365005,-0.17520127815185127
1,38,48,-6.334195985753043,-1.1065358938730192,41.22857467980299,3.2736338867495407
1,39,43,-4.704456877337399,0.11921405460358336,22.012700456123568,1.233014384065116
1,40,22,0.5894064067319293,-5.524268993135182,5.871668905431827,4.229565789769218
1,41,10,1.2899178030706064,2.2543377200630648,-0.590449781384565,-3.899296621598368
1,42,20,-1.4965096112031269,-3.2151443306717002,5.454685347095034,2.9633991362732637
1,43,5,-0.23108331364812607,3.77212028871147,-3.7187207908648716,-4.656578631887407
1,44,20,1.385625914889001,-3.54835470973965,5.468313885751631,1.8555417522951494
1,45,17,2.5573506885193638,0.8348224574160206,5.705220086654443,-3.1134978016757024
1,46,43,-4.568892903398775,-0.49862688750538275,21.373409250233074,1.7830733392047704
1,47,15,-2.658576590309055,3.406542794694861,3.66148669184446,-3.0772544995403335
1,48,22,-2.37436456580957,-2.8849401405273367,8.522547231899402,3.0721224234321216
1,49,51,-6.450181194781448,-4.0876523786920576,45.69248982420428,6.312742976082781
1,50,21,0.39040016014607026,-4.668077496063134,4.820489781105211,3.472877415990099
1,51,34,3.439433300201406,-4.7207123402271005,16.550413766761437,2.0009956901263974
1,52,35,3.9495511632163662,-2.073279704303978,17.67223409516773,-0.901495877304205
1,53,23,-3.712785512688015,2.746838019626434,11.037938243599571,-1.8904452632824267
